conversation_id_str,full_text_comments,full_text_comments_preprocessed
2.000392181165732e+18,@susipudjiastuti @prabowo Ini kan salah satu akibat dri orang dulu ibu bantu kampanye sempe ke pelosok² Dan sekarang juga lagi ngelakuin hal sama ke salah 1 gub p jawa apa gak takut kalau orangnya akan melakukan hal yg sama?,susipudjiastuti prabowo salah akibat dri bantu kampanye sempe pelosok ngelakuin salah gub jawa gak takut orangnya
2.000392181165732e+18,@susipudjiastuti @prabowo Udah ga ada yg bisa diharapkan dari Mr. Omon omon bu,susipudjiastuti prabowo diharapkan omon omon
2.000392181165732e+18,@susipudjiastuti @prabowo rajanya omon omon bawahan bilang a percaya aja.,susipudjiastuti prabowo rajanya omon omon bawahan bilang percaya
2.000392181165732e+18,@susipudjiastuti @prabowo Setuju... Stop sekarang juga,susipudjiastuti prabowo setuju stop
2.000392181165732e+18,@susipudjiastuti @prabowo Ini spt jeruk makan jèruk,susipudjiastuti prabowo spt jeruk makan ruk
2.000392181165732e+18,@susipudjiastuti @prabowo Berharap boleh saja Bu tapi Ibu berharap pada pemimpin yg salah,susipudjiastuti prabowo berharap berharap pemimpin salah
2.000392181165732e+18,@susipudjiastuti @prabowo Gak sampai ke telingganya bun gmana diA mau dengar,susipudjiastuti prabowo gak telingganya bun gmana dengar
2.000392181165732e+18,@susipudjiastuti @prabowo mereka tunarungu bu,susipudjiastuti prabowo tunarungu
2.000392181165732e+18,@susipudjiastuti @prabowo Ibu kira bapak berani? Saya kira bapak ga akan pernah seberani itu bu ,susipudjiastuti prabowo berani seberani
2.000007837712634e+18,@ARSIPAJA Habis di bredel langsung menjilat ....najiiss https://t.co/rZ3uWAtC0E,arsipaja habis bredel langsung menjilat najiiss
2.000007837712634e+18,@ARSIPAJA Sebenernya yang dibenci bukan prabowonya semua yang mendukung dia tapi yang ada hubungannya dengan raja Jawa. Karena raja Jawa lambang kerakusan ketamakan keculasan.,arsipaja sebenernya dibenci bukan prabowonya mendukung hubungannya raja jawa raja jawa lambang kerakusan ketamakan keculasan
2.000007837712634e+18,@ARSIPAJA Bhaaapppp kok tulisan WARTAWAN https://t.co/BciisdjLKY,arsipaja bhaaapppp tulisan wartawan
