full_text_comments,full_text_comments_preprocessed
@ARSIPAJA Saya tidak membenci president.. Saya hanya tidak suka kesalahan yang tidak di akui ditutup2i tidak diperbaiki lebih parah lagi kalo bersekongkol membunuh nilai moral dan norma.. Jgn lagi terjadi seperti relawan pembela presiden sblmny menjadi buta dengan nilai kebenaran..,membenci president kesalahan akui ditutupi diperbaiki lebih parah kalo bersekongkol membunuh nilai moral norma jgn terjadi relawan pembela presiden sblmny menjadi buta nilai kebenaran
@ARSIPAJA @BP_Kaskus gak heran kompas sejak jaman mulyono,heran kompas sejak jaman mulyono
@ARSIPAJA Opini isinya jilatin penguasa ada ada aja jaya suprana bukannya ngurusin muri,opini isinya jilatin penguasa jaya suprana bukannya ngurusin muri
@ARSIPAJA Ikan busuk dari apanyaa ??? . Kepala nyaa,ikan busuk apanyaa kepala nyaa
@ARSIPAJA Pendukungnya udah mulai pada gila (emang ga pernah waras dari awal si) udah jelas banget kayanya yg dibenci itu rezimnya bukan personalnya,pendukungnya udah mulai gila emang pernah waras awal udah jelas banget kayanya dibenci rezimnya personalnya
@ARSIPAJA Njir kompas memelihara penulis berita kek gini?,njir kompas memelihara penulis berita kek gini
@ARSIPAJA Tunjangan Akhir Tahun dikucurkan ada penjahat butuh polesan tebal https://t.co/W3nXPrHf0T,tunjangan akhir tahun dikucurkan penjahat butuh polesan tebal
@ARSIPAJA Apalah arti kunjungan kalo bantuan lambat? Ada yg 12 hari blm dpt bantuan skrg 3 daerah mengibarkan bendera putih meminta bantuan internasional krn lambatnya pemerintah ada yg berjalan puluhan kilometer demi mendapatkan beras utk keluarganya,apalah arti kunjungan kalo bantuan lambat hari blm dpt bantuan skrg daerah mengibarkan bendera putih meminta bantuan internasional krn lambatnya pemerintah berjalan puluhan kilometer demi mendapatkan beras utk keluarganya
@ARSIPAJA Dia pergi settingan balik ke kondisi asli ,pergi settingan balik kondisi asli
@ARSIPAJA @kompascom udah jadi penyepong biji satu,udah jadi penyepong biji satu
@ARSIPAJA Amankan tautannya. Bakal jadi artefak bersejarah ini wkwk,amankan tautannya bakal jadi artefak bersejarah wkwk
. @SpeedyMorman doesn t chase viral moments; he creates them. Calm precise and surgical he makes space for honesty in an era allergic to nuance. Whether he s sitting with rappers or whatever career Kim K is currently pursuing he brings the same patience and the confidence of https://t.co/yF7l5V9piM,doesn chase viral moments creates them calm precise and surgical makes space for honesty era allergic nuance whether sitting with rappers whatever career kim currently pursuing brings the same patience and the confidence
@ARSIPAJA ada kaitannya kah dengan jurnalis kompas yg disuruh hapus liputan bencana kemarin?? wkwk narasi nya jadi jilat total maju terus sambil koprol bareng gelondongan kayu,kaitannya kah jurnalis kompas disuruh hapus liputan bencana kemarin wkwk narasi jadi jilat total maju terus sambil koprol bareng gelondongan kayu
@ARSIPAJA Yang belum membaca sebaiknya dibaca dulu artikelnya. https://t.co/1EYsR1pT32,membaca sebaiknya dibaca dulu artikelnya
@ARSIPAJA Itu kualitas jurnalisnya atau aturan mainnya emang hrs yg bagus aja?,kualitas jurnalisnya aturan mainnya emang hrs bagus
@ARSIPAJA @kompascom @KompasTV penyepong penguasa,penyepong penguasa
@ARSIPAJA hmm https://t.co/M0sXxjEAYO,hmm
@ARSIPAJA Kemaren sekilas liat headline berita yg bilang reporter komps dipaksa hapus bukti foto dan video ttg kerusakan bencana di aceh wkwkwk,kemaren sekilas liat headline berita bilang reporter komps dipaksa hapus bukti foto video ttg kerusakan bencana aceh wkwkwk
@ARSIPAJA Haha.. KOMPAS ga heran. Berani spill siapa aja perusahaan pembabatan hutan yg menjadi penyebab hutan rusak gak? Gw jamin ga berani. ,haha kompas heran berani spill siapa perusahaan pembabatan hutan menjadi penyebab hutan rusak jamin berani
@ARSIPAJA Udah baca tapi di poin-poin nya ga ada poin penangkapan pelaku pembalakan liar dan pihak yang terlibat harus tanggung jawabnya.,udah baca poin poin poin penangkapan pelaku pembalakan liar pihak terlibat tanggung jawabnya
@ARSIPAJA Bare minimum seorang presiden sudah turun drastis.,bare minimum seorang presiden turun drastis
@ARSIPAJA Kayak kunjungan ke daerah dunia ketiga penug dengan parade ...kasihan banget warga,kayak kunjungan daerah dunia ketiga penug parade kasihan banget warga
@ARSIPAJA Orang2 kayak gini dikasih platform taikk,orang kayak gini dikasih platform taikk
@ARSIPAJA Buset,buset
@ARSIPAJA Jaya Suprana dan Sandro Gatra is THE money really that good?,jaya suprana sandro gatra the money really that good
@ARSIPAJA Ini kl ketahuan dosen jurnalistik gw diomelin abis-abisan sih,ketahuan dosen jurnalistik diomelin abis abisan sih
@ARSIPAJA Ya di negara feodal kritik memang dianggap kebencian. Sungkem sujud nurut diutamakan.,negara feodal kritik memang dianggap kebencian sungkem sujud nurut diutamakan
@ARSIPAJA yg kita benci itu kebijakan dan kinerjanya bukan orangnya,benci kebijakan kinerjanya orangnya
@ARSIPAJA Walau saya tau posisi anda terdesak tp untung belum perpanjang langganan @kompascom,walau tau posisi anda terdesak untung perpanjang langganan
@ARSIPAJA tulisannya si @Kelirumologi buzzer penguasa,tulisannya buzzer penguasa
@ARSIPAJA apaan banget script nya???,apaan banget script
@ARSIPAJA Tim redaksinya diancam kah? Artikel kaya gini lolos.,tim redaksinya diancam kah artikel kaya gini lolos
@ARSIPAJA maaf juga ye penulis gue kaga percaya ,maaf penulis kaga percaya
@ARSIPAJA Loh kirain kompasiana.,kirain kompasiana
@ARSIPAJA Kompas jadi Kompos setidaknya kompos bermanfaat lah ini ,kompas jadi kompos setidaknya kompos bermanfaat
@ARSIPAJA Gw masih mikir dr td.. poinnya kalimat itu apa?,mikir poinnya kalimat apa
@ARSIPAJA Astagaaa berita macam apa itu @kompascom ?,astagaaa berita macam apa
@ARSIPAJA Beneran ini kompas bikin narasi berita kayak gini?,beneran kompas bikin narasi berita kayak gini
@ARSIPAJA Alasan kenapa ga langganan kompas,alasan kenapa langganan kompas
@ARSIPAJA mohon pake bold,mohon pake bold
@ARSIPAJA ini apaan jancok bisa nulis ga sih,apaan jancok nulis sih
@ARSIPAJA Ya Allah takbirrrr Beneran ada jurnalis kek gini?? Terang2an mihak?? Perasaan gua dl diajarin ga begini deh,allah takbirrrr beneran jurnalis kek gini terangan mihak perasaan diajarin begini
@ARSIPAJA Sekelas kompas bahasanya kek buzerp,sekelas kompas bahasanya kek buzerp
@ARSIPAJA Redaksi @kompascom rasa buzzer..,redaksi rasa buzzer
@ARSIPAJA Ini advertorial atau rubrik opini kah?,advertorial rubrik opini kah
CES is almost here Jan 6 9 2026! @Synopsys just announced a special CEO Fireside Chat at CES 2026 with CEO Sassine Ghazi joining Six Five Podcast hosts @PatrickMoorhead &amp; @danielnewmanUV to unpack the future of automotive engineering from AI and software-defined,ces almost here jan just announced special ceo fireside chat ces with ceo sassine ghazi joining six five podcast hosts amp unpack the future automotive engineering from and software defined
@ARSIPAJA AHHAHAHAHA,ahhahahaha
@ARSIPAJA Ini berita kompas? Bukan kompasiana kan??,berita kompas kompasiana kan
@ARSIPAJA Downgrade jadi koran lampu merah,downgrade jadi koran lampu merah
@ARSIPAJA ini opini bukan berita,opini berita
@ARSIPAJA Kompos sejak jaman mulyono sudah jadi keset rezim cuma biar bisa tetap makan enak,kompos sejak jaman mulyono jadi keset rezim cuma biar tetap makan enak
@ARSIPAJA Anjirr narasinyaa setelah dibungkam ,anjirr narasinyaa setelah dibungkam
@ARSIPAJA jilatan sempurna... https://t.co/Y0tXiIA8Tr,jilatan sempurna
@ARSIPAJA Apakah jika ada yang mengkritisi berarti membenci...? Cetek sekali....,apakah mengkritisi berarti membenci cetek sekali
@ARSIPAJA anjirrrr @kompascom asli na boskuu,anjirrrr asli boskuu
@ARSIPAJA Subjektivitasnya makin terang-terangan.,subjektivitasnya makin terang terangan
@ARSIPAJA Kompas mulai keras? Gak yakin.,kompas mulai keras yakin
@ARSIPAJA Ashiappp permohonan maaf nya ga di terima,ashiappp permohonan maaf terima
@ARSIPAJA ITU SUDAH KEWAJIBAN PRESIDEN. BARE MINIMUM BANGET. STOP GLORIFYING THISS!!,kewajiban presiden bare minimum banget stop glorifying thiss
@ARSIPAJA Tolol banget kompas masa tulisannya subjektif begitu,tolol banget kompas masa tulisannya subjektif begitu
@ARSIPAJA @kompascom core,core
@ARSIPAJA sekelas kompas nih? emang rendah bgt harga diri jurnalis nasional kita klo gak clickbait ya bayaran. gak ada integritas yang dijaga,sekelas kompas emang rendah bgt harga diri jurnalis nasional klo clickbait bayaran integritas dijaga
@ARSIPAJA beneran ada https://t.co/AWJuslOS0M,beneran
@ARSIPAJA HAH????,hah
@ARSIPAJA @JayaSupranaShow ...,
@ARSIPAJA ,
@ARSIPAJA yg edit makan gaji buta,edit makan gaji buta
@ARSIPAJA izinnnn,izinnnn
@ARSIPAJA wkwkwk,wkwkwk
@ARSIPAJA Jijik,jijik
